Location Name,Keywords,Rating
Bảo tàng lịch sử Việt Nam,lịch sử,0.9
Địa đạo Củ Chi,"di tích, lịch sử",0.9
Buôn Đôn,"du lịch, thiên nhiên",0.8848920863309353
Hồ Lắk,"lịch sử, văn hóa, khám phá",0.8848920863309353
Bảo tàng cà phê Thế giới,"thư giãn, yên bình",0.8848920863309353
Công viên địa chất Đắk Nông,"lịch sử, văn hóa",0.8848920863309353
Thác Dray Sap,khám phá,0.8848920863309353
Hang động Chư Bluk,"thiên nhiên, du lịch",0.8848920863309353
Khu bảo tồn thiên nhiên Nâm Nung,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Đồi A1,"du lịch, thiên nhiên",0.8848920863309353
Hầm De Castries,"lịch sử, văn hóa, khám phá",0.8848920863309353
Cánh đồng Mường Thanh,"thư giãn, yên bình",0.8848920863309353
Vườn quốc gia Cát Tiên,"lịch sử, văn hóa",0.8848920863309353
Khu du lịch Bửu Long,khám phá,0.8848920863309353
Hồ Trị An,"thiên nhiên, du lịch",0.8848920863309353
Thác Giang Điền,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Vườn quốc gia Tràm Chim,"du lịch, thiên nhiên",0.8848920863309353
Làng hoa Sa Đéc,"lịch sử, văn hóa, khám phá",0.8848920863309353
Lăng cụ Nguyễn Sinh Sắc,"thư giãn, yên bình",0.8848920863309353
Biển Hồ,"lịch sử, văn hóa",0.8848920863309353
Thác Phú Cường,khám phá,0.8848920863309353
Chùa Minh Thành,"thiên nhiên, du lịch",0.8848920863309353
Đồi chè Bàu Cạn,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Cột cờ Lũng Cú,"du lịch, thiên nhiên",0.8848920863309353
Đèo Mã Pí Lèng,"lịch sử, văn hóa, khám phá",0.8848920863309353
Hẻm Tu Sản,"thư giãn, yên bình",0.8848920863309353
Chùa Tam Chúc,"lịch sử, văn hóa",0.8848920863309353
Đền Trần Thương,khám phá,0.8848920863309353
Hang Luồn,"thiên nhiên, du lịch",0.8848920863309353
Làng Vũ Đại,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Lăng Chủ tịch Hồ Chí Minh,"du lịch, thiên nhiên",0.8848920863309353
Hồ Gươm,"lịch sử, văn hóa, khám phá",0.8848920863309353
Hoàng thành Thăng Long,"thư giãn, yên bình",0.8848920863309353
Ngã ba Đồng Lộc,"lịch sử, văn hóa",0.8848920863309353
Chùa Hương Tích,khám phá,0.8848920863309353
Biển Thiên Cầm,"thiên nhiên, du lịch",0.8848920863309353
Đèo Ngang,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Đảo Cò Chi Lăng Nam,"du lịch, thiên nhiên",0.8848920863309353
Chùa Côn Sơn,"lịch sử, văn hóa, khám phá",0.8848920863309353
Đền Kiếp Bạc,"thư giãn, yên bình",0.8848920863309353
Đồ Sơn,"lịch sử, văn hóa",0.8848920863309353
Cát Bà,khám phá,0.8848920863309353
Bến Nghiêng - Bến K15,"thiên nhiên, du lịch",0.8848920863309353
Cầu Hoàng Văn Thụ,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Khu du lịch Lung Ngọc Hoàng,"du lịch, thiên nhiên",0.8848920863309353
Chợ nổi Ngã Bảy,"lịch sử, văn hóa, khám phá",0.8848920863309353
Vườn cò Tân Long,"thư giãn, yên bình",0.8848920863309353
Thung Nai,"lịch sử, văn hóa",0.8848920863309353
Mai Châu,khám phá,0.8848920863309353
Động Đá Bạc,"thiên nhiên, du lịch",0.8848920863309353
Đền Thác Bờ,"khám phá, thiên nhiên, thư giãn",0.8848920863309353
Phố Hiến,"du lịch, thiên nhiên",0.8848920863309353
Chùa Chuông,"lịch sử, văn hóa, khám phá",0.8848920863309353
Đền Phù Ủng,"thư giãn, yên bình",0.8848920863309353
